masked,original
뚱뚱 자기 몸을 혐오하는 건 바람직하지.,뚱뚱하다고 자기 몸을 혐오하는 건 바람직하지 않잖아.
근데 자기 긍정한다고 뚱뚱한 걸 방치하는.,근데 자기 몸을 긍정한다고 뚱뚱한 걸 방치하는 경우도 있잖아.
뚱뚱한 걸 방치 자기 해치는 행위지.,뚱뚱한 걸 방치하는 건 자기 건강을 해치는 행위지.
##을 만지면서 커야 해.,애들은 흙을 좀 만지면서 커야 해.
아줌마 보니깐 짜증,저 아줌마 보니깐 짜증 난다.
이번에 한번 하고 오는?,이번에 달걀쇼 한번 하고 오는 거야?
헉 나랑 둘다 먹고 맛있겠다,헉 나 피자랑 치킨 둘다 먹고싶어 맛있겠다
,일이 힘들어서 그렇지
"오늘 망했, 살기싫어","오늘 진짜 시험 망했어, 살기싫어"
방음이 안되야 한다고? 그럼 다른 사람들 소리 다잖아 자야,방음이 안되야 한다고? 그럼 다른 사람들 소리 다 들리잖아 편하게 자야 좋은데
좀 돌아다니면서 알아보고 쓰지 맨날보면 복붙한거같이 줄줄이 올라옴기사를원..,좀 돌아다니면서 알아보고 쓰지 요새 맨날보면 복붙한거같이 줄줄이 올라옴 새로운기사를원한다..
종특이라고 부르함.,보통 사람들이 종특이라고 부르긴함.
"응,, 까지려구","응,, 올해 까지만 해보려구"
하비 맞지? 솔직하게라,나 하비 맞지? 솔직하게 말해주라 ㅜㅜ
역시... 하체로만 찌,역시...나는 살이 하체로만 찌나봐
,지구를 지켜야지
어디서거지,몰라 이번엔 어디서 잃어버린거지
한 번 주세요.,제발 한 번만 기회를 주세요.
그럼 두지 그랬어,그럼 좀 거리를 두지 그랬어.
,너무 뜬금없네
가사 출신이잖아,[UNK]가 특전사 출신이잖아
이 사람 남자친구가 신분증 가지고 산부인과 가서 떼려고,이 사람 남자친구가 신분증 가지고 산부인과 가서 기록 떼려고 했대
##쳤어?,왜 시험 망쳤어?
하 두게 생겼어ㅠㅜ,하 알바 그만 못 두게 생겼어ㅠㅜ
그래도 [UNK] 은 지구에서 유일하게 공산주의 국가,그래도 [UNK]은 지구에서 유일하게 성공한 공산주의 체제 국가이지
"넌만 벗으면 참 예쁠 것 같은데, 라나섹 하는 건 어때?","넌 안경만 벗으면 참 예쁠 것 같은데, 라식이나 라섹 하는 건 어때?"
그러게. 생긴 거로 심하게 아닌 거 같아,그러게. 생긴 거로 그렇게 심하게 말하는 건 아닌 거 같아
예쁘기만 하구만 여자들은 걔가 인조네,예쁘기만 하구만 여자들은 걔가 인조미라고 싫어하네
공부하라고 닥 부모 없어서 대부분 10시 이전에 잘 걸,공부하라고 닥달하는 부모 별로 없어서 대부분 10시 이전에 잘 걸
일찍까 발육이 잘 되어서,일찍 자니까 신체 발육이 잘 되어서 그래
,구매 확정 부탁드립니다
"내가 무서운가봐? 나를 국회로라니까, 다해줄테니","내가 무서운가봐? 나를 국회로 부르라니까, 다 대답해줄테니"
너도만준거 내가 모를줄 알아?,너 저번에도 나한테만 눈치준거 내가 모를줄 알아?
알바 오징어,오늘 알바하다가 오징어 봄
##을도리가 깔끔해야지.,바람을 피워도 뒤처리가 깔끔해야지.
##에 전용도 같이 있잖아 글로 잘 다니면 괜츈하지,도보에 자전거 전용 도로도 같이 있잖아 글로 잘 다니면 괜츈하지
할아버지 같이 싫어,할아버지랑 같이 살기 싫어
##이나 보여줬 좋겠네,입금 내역이나 보여줬음 좋겠네
사람 생기면 바로할 거야,난 좋은 사람 생기면 바로 결혼할 거야
주면 걸 저러네,그냥 돈으로 주면 되는 걸 저러네
"요새 아무리 싸 7,원인데 세상 물정을 모르시는 건가?","요새 밥값 아무리 싸도 7,8천원인데 세상 물정을 모르시는 건가?"
우리 딸도 한 달이면은 나가요,우리 딸도 한 달이면 밥값으로 20만원은 나가요
안 들면 감정적으로 때리고,지 마음에 안 들면 감정적으로 애들 때리고
못 때리,요즘은 애들 못 때리잖아
,너무 그러지마라
,왜그러는데?
##도 엄청했던 애다,쟤가 원래 기부도 엄청했던 애다
##다리라고 그렇게 아무렇지 않게 수 있니?,여러 양다리라고 그렇게 아무렇지 않게 말할 수 있니?
"아, 아, 아니,,,,게","아, 아, 아니,, 미안해 고,,고칠게"
##은 전부 애낳고 자리잡고 잘..,친구들은 전부 결혼해서 애낳고 자리잡고 잘 사는데..
힘이 좋은거지 무식한,그냥 힘이 좋은거지 무식한건 아니지
너무 외로워서 아무나 건둬야겠어,너무 외로워서 아무나 만나는 건 그만둬야겠어.
눈 멀쩡히 들고 튀어 버리네.,눈 앞에서 멀쩡히 보고 있는데 들고 튀어 버리네.
눈이고? [UNK] 정도면랑 다 상급 아니냐?,눈이 낮다고? [UNK] 정도면 외모랑 실력 다 상급 아니냐?
##했냐?,너 말 다했냐?
##했냐?,왜 불쌍했냐?
,고맙다 고마워
남자들은 통통한거랑 섹시 못하더라,남자들은 통통한거랑 섹시한거 구분 잘 못하더라
그게아니라 하시벌째에여,그게아니라 적당히 하시야지 몇십벌째에여
,알바입니다
남자는 안돼,남자는 예쁘면 안돼?
##보 추천급은 아니긴 한데 댓글 반응이 너무 처참하네 ㅋㅋㅋ,이 웹화보 추천급은 아니긴 한데 댓글 반응이 너무 처참하네 ㅋㅋㅋ
가자 룸은 내가 빌릴,오랜만에 나이트 가자 룸은 내가 빌릴께
나방올,나 pc방 다녀올게
,안돼
크로스핏 다니는데 몸 여자들,크로스핏 다니는데 몸 좋은 여자들 너무 많아
##도 트렌치 입 되나?,요새도 트렌치 코트 입어도 되나?
그 손녀뻘 어린 여자랑 났ㅋㅋ,그 배우 손녀뻘 어린 여자랑 스캔들 났더라ㅋㅋ
##들 아니냐,완전 애기들 아니냐?
조선시대였으면 이미 셋 뭐,조선시대였으면 이미 애가 셋인데 뭐 어때
사우나 갔다 나오면서 바나나는 거 모르는 사람 없지,사우나 갔다 나오면서 바나나우유 마시는 거 모르는 사람 없지
,너 관상 믿냐
##은 좋잖앜ㅋㅋㅋ,그래도 실력은 좋잖앜ㅋㅋㅋ
##라도 없으면 세울 게 없어서 그런가,그거라도 없으면 자존심 세울 게 없어서 그런가.
ㅇㅈ 장래 장례가 보이는..,ㅇㅈ 장래보단 장례가 필요해 보이는듯..
##기에는 뒷도 안나오지?,그렇다기에는 뒷이야기도 안나오지 않나?
너창 생기지 않을까?,너 이러다가 등에 욕창 생기지 않을까?
##게 생겼지?,나 정도면 괜찮게 생겼지?
딱봐도 미성년자들사오는데 바로컷넴 ㅋㅋ 검사하면 맨날 두고왔데,딱봐도 미성년자들 술사러오는데 바로 입구컷넴 ㅋㅋ 검사하면 맨날 두고왔데
변명도 맨날 비슷해 집에두고왔 사진은 안될까요 저원래기서 ㅋㅋ,변명도 맨날 비슷해 집에두고왔어요 사진은 안될까요 저원래여기서 사는데 ㅋㅋ
[UNK] 성추행갔,[UNK] 성추행 혐의로 잡혀갔데
##기네,기다리기 지치네
,조금만 참어
근데 웃긴게 그거 똑같이 [UNK] 이 [UNK] 한테도 거지,근데 웃긴게 그거 똑같이 [UNK]이 좋아하는 [UNK]한테도 적용된다는 거지
엌 그러네 가만히 거지,엌 그러네 이번에는 왜 가만히 있는 거지
가게에서 갑질 대박이던데? 놀어,가게에서 갑질 대박이던데? 조금 놀랬어.
헐랑 할 듯,헐 나 걔랑 소개팅 할 듯
저은딩들 꼬셨다며,저 연예인은 중고딩들 꼬셨다며
##을 더 키우려면 조절은지,근육을 더 키우려면 식단 조절은 필수지
##만 키워서하려고.,근육만 자꾸 키워서 뭐하려고.
,말이 심하시네요
스타벅스 여자랑은 상종 안 해,나는 스타벅스 가는 여자랑은 상종 안 해.
##스타킹의 계절 온다,슬슬 검은스타킹의 계절이 온다
노인들은 탐?,왜 노인들은 무료로 지하철 탐?
##라도 줘,무슨일이냐 링크라도 줘
아무리 생각해도 각도 나오네,아무리 생각해도 이건 각도 안 나오네
##로 새 뽑았어,이번에 할부로 새차 뽑았어
같은,나도 같은 생각이야
##까,얼마나 힘들까
편지로 여자를 꼬?,연애 편지로 여자를 꼬신다고?
요즘 군머에서는 때덩이 장애물 대신 키즈카페 볼풀로 대체한다던데 봤냐,요즘 군머에서는 유격 때 물 웅덩이 장애물 대신 키즈카페 볼풀로 대체한다던데 봤냐
응 쌩얼 맞을껄?기로 유명했음,응 쌩얼 맞을껄? 원래도 이쁘기로 유명했음
ㅋㅋㅋㅋ 그니까 안 팔리니까 해체하는 거 가지고 회사만 욕하네..도욕 없어 보이,ㅋㅋㅋㅋ 그니까 안 팔리니까 해체하는 거 가지고 회사만 욕하네.. 본인들도 의욕 없어 보이던데요
야구 올림픽에서 떨어지는 거 속이 다 시원.,이번에 야구 올림픽에서 떨어지는 거 보고 속이 다 시원하더라.
##은 걸 ㅋㅋ,귀찮은 걸 어떡하라고 ㅋㅋ
부양해주는 지구를 위해 인류가 있는 일이 뭐가 있을까?,우리를 부양해주는 지구를 위해 인류가 해줄 수 있는 일이 뭐가 있을까?
저주시면 열심히게요,저를 뽑아주시면 열심히 일할게요
##즙한거에 도움 줘?,양배추즙? 피곤한거에 도움 줘?
근데 그 부모님들 대부분이 성소수자가 된 자녀도,근데 그 부모님들 대부분이 성소수자가 된 자녀도 사랑하더라.
##인 게 외모가하더라고.,근데 고민인 게 외모가 완벽하더라고.
인생 살기 편하서 지방대학 들어간 애들,인생 살기 편하다면서 지방대학 들어간 애들 욕하고 있더라
너 지 인 누구들어,너 지학 인강 누구들어?
,나 [UNK]들어
학폭게 생겼다,나 학폭 신고 당하게 생겼다
통통한 여자 것?,통통한 여자 어떤 것 같아?
##한 인스타 누님이시다,요즘 핫한 인스타 누님이시다
너 밖에서는 한 마디도 못하면서 왜 부모님럼 없이 욕?,너 밖에서는 한 마디도 못하면서 왜 부모님한테는 스스럼 없이 욕하냐?
50대 아저씨가에게 마시게 하고 덮쳤.,50대 아저씨가 초등학생에게 술을 마시게 하고 덮쳤대.
나도 그렇게 생각해서 나는 물리 거세를.,나도 그렇게 생각해서 나는 물리적 거세를 주장하고 있어.
왜 살까,나는 왜 살까?
",이 맞아야지","맞아, 균형이 맞아야지."
여자 꼬려면 제대하고 차를 게 맞을까 아님 그 전에 뽑아놓는 게 맞을까?,여자 꼬시려면 군대 제대하고 차를 뽑는 게 맞을까 아님 그 전에 뽑아놓는 게 맞을까?
사회에 조선족들이진 것,요새 사회에 조선족들이 많아진 것 같아
##지,그래야지 뭐.
택배 기사가 한에면 개꿀 아닌가,택배 기사가 한 달에 500 가져가면 개꿀 아닌가
,너 진짜 안되겠다
와 윗 개지 하루종일 짖어 잠을 못잤네,와 윗집에 개 키우는지 하루종일 짖어서 잠을 못잤네
,아니 왜?
보이스피싱 조선족들?,요즘 보이스피싱 조선족들 왜이렇게 많냐?
리얼돌 되는 거야,리얼돌 합법화 되는 거 나는 반대야
"건강항 성문하기도 하고, 여성을 성적대상 하는 거 잖아","건강항 성문화를 저해하기도 하고, 여성을 성적대상화 하는 거 잖아"
나이나 한번 해볼,나 복싱이나 한번 해볼까
그래 좋은 생각이다 최악,그래 좋은 생각이다 안그래도 체력 최악이잖아
